date,portfolio,cumulative_return
2021-11-15,Equal Weight,1.2129513756732266
2021-11-16,Equal Weight,1.2019390762357847
2021-11-17,Equal Weight,1.2156782411425446
2021-11-18,Equal Weight,1.2006379378673735
2021-11-19,Equal Weight,1.1898065030523393
2021-11-22,Equal Weight,1.2115213086992624
2021-11-23,Equal Weight,1.236359234295802
2021-11-24,Equal Weight,1.2889475397030417
2021-11-25,Equal Weight,1.2956045122340925
2021-11-26,Equal Weight,1.2712935293764818
2021-11-29,Equal Weight,1.2404975517991668
2021-11-30,Equal Weight,1.2138477286865372
2021-12-01,Equal Weight,1.2325104133611564
2021-12-02,Equal Weight,1.2209964055970994
2021-12-03,Equal Weight,1.1563180952067413
2021-12-06,Equal Weight,1.1141267074592274
2021-12-07,Equal Weight,1.1640820705878916
2021-12-08,Equal Weight,1.1762561664351963
2021-12-09,Equal Weight,1.1994630555717989
2021-12-10,Equal Weight,1.1951368377654856
2021-12-13,Equal Weight,1.2034399190071445
2021-12-14,Equal Weight,1.2029406315076279
2021-12-15,Equal Weight,1.2122498307328358
2021-12-16,Equal Weight,1.206016307520398
2021-12-17,Equal Weight,1.2084184342565543
2021-12-20,Equal Weight,1.2073260387917557
2021-12-21,Equal Weight,1.1953028457946506
2021-12-22,Equal Weight,1.1818175517969238
2021-12-23,Equal Weight,1.149646105674191
2021-12-24,Equal Weight,1.1940513261814911
2021-12-27,Equal Weight,1.2024101534312646
2021-12-28,Equal Weight,1.217610941088075
2021-12-29,Equal Weight,1.2104848526472076
2021-12-30,Equal Weight,1.2171451491907148
2021-12-31,Equal Weight,1.241930589829456
2022-01-04,Equal Weight,1.2820914342048426
2022-01-05,Equal Weight,1.272420203876313
2022-01-06,Equal Weight,1.2773258437490274
2022-01-07,Equal Weight,1.2735986376342132
2022-01-10,Equal Weight,1.2385017503126283
2022-01-11,Equal Weight,1.2233330743389512
2022-01-12,Equal Weight,1.2874818042087446
2022-01-13,Equal Weight,1.2765343148481834
2022-01-14,Equal Weight,1.2769211625947552
2022-01-17,Equal Weight,1.2086102785167538
2022-01-18,Equal Weight,1.195316692057684
2022-01-19,Equal Weight,1.2042430495081402
2022-01-20,Equal Weight,1.2324194378064588
2022-01-21,Equal Weight,1.2450469653285645
2022-01-24,Equal Weight,1.1964885064328743
2022-01-25,Equal Weight,1.2685762571706332
2022-01-26,Equal Weight,1.2926007806185207
2022-01-27,Equal Weight,1.2872863332271693
2022-01-28,Equal Weight,1.3102063384371059
2022-02-07,Equal Weight,1.3375277382352784
2022-02-08,Equal Weight,1.3519383493174986
2022-02-09,Equal Weight,1.3549206026854637
2022-02-10,Equal Weight,1.355937205732069
2022-02-11,Equal Weight,1.3523292844353634
2022-02-14,Equal Weight,1.2909251752949484
2022-02-15,Equal Weight,1.3251862667262886
2022-02-16,Equal Weight,1.3189780499578632
2022-02-17,Equal Weight,1.3475874331351885
2022-02-18,Equal Weight,1.3320727846730098
2022-02-21,Equal Weight,1.336021277372716
2022-02-22,Equal Weight,1.3366727852788487
2022-02-23,Equal Weight,1.3511580348368595
2022-02-24,Equal Weight,1.3271729393615908
2022-02-25,Equal Weight,1.331668544975786
2022-02-28,Equal Weight,1.3146381936594245
2022-03-01,Equal Weight,1.3170860512901799
2022-03-02,Equal Weight,1.28345382618437
2022-03-03,Equal Weight,1.3129807476421038
2022-03-04,Equal Weight,1.3101856054992553
2022-03-07,Equal Weight,1.2851736182144293
2022-03-08,Equal Weight,1.259794316597262
2022-03-09,Equal Weight,1.2509630296545877
2022-03-10,Equal Weight,1.2552656976907435
2022-03-11,Equal Weight,1.2330620965208174
2022-03-14,Equal Weight,1.2090479212596472
2022-03-15,Equal Weight,1.219613671133795
2022-03-16,Equal Weight,1.2293810817275945
2022-03-17,Equal Weight,1.2328863320546177
2022-03-18,Equal Weight,1.243628879618281
2022-03-21,Equal Weight,1.2750265910241678
2022-03-22,Equal Weight,1.286995647736647
2022-03-23,Equal Weight,1.278223342932919
