date,ticker,drawdown
2020-08-31,MWG,0.0
2020-09-01,MWG,0.0
2020-09-03,MWG,0.0
2020-09-04,MWG,-0.0073578595317725926
2020-09-07,MWG,-0.04749163879598661
2020-09-08,MWG,-0.018060200668896353
2020-09-09,MWG,-0.014715719063545074
2020-09-10,MWG,-0.00936454849498325
2020-09-11,MWG,-0.014715719063545074
2020-09-14,MWG,-0.019063545150501682
2020-09-15,MWG,-0.0200668896321069
2020-09-16,MWG,-0.0020066889632106566
2020-09-17,MWG,-0.006354515050167042
2020-09-18,MWG,-0.0033444816053510573
2020-09-21,MWG,0.0
2020-09-22,MWG,0.0
2020-09-23,MWG,0.0
2020-09-24,MWG,-0.0068450528935903865
2020-09-25,MWG,-0.013690105787180995
2020-09-28,MWG,0.0
2020-09-29,MWG,0.0
2020-09-30,MWG,0.0
2020-10-01,MWG,0.0
2020-10-02,MWG,-0.009661835748792424
2020-10-05,MWG,-0.009661835748792424
2020-10-06,MWG,0.0
2020-10-07,MWG,0.0
2020-10-08,MWG,0.0
2020-10-09,MWG,-0.00463231036479439
2020-10-12,MWG,-0.01823972206137836
2020-10-13,MWG,-0.030110017371164033
2020-10-14,MWG,-0.00463231036479439
2020-10-15,MWG,-0.0008685581933991493
2020-10-16,MWG,-0.01013317892298815
2020-10-19,MWG,-0.011001737116387078
2020-10-20,MWG,-0.011001737116387078
2020-10-21,MWG,-0.020266357845975747
2020-10-22,MWG,0.0
2020-10-23,MWG,0.0
2020-10-26,MWG,0.0
2020-10-27,MWG,0.0
2020-10-28,MWG,-0.045480386583286014
2020-10-29,MWG,-0.06992609437180208
2020-10-30,MWG,-0.048322910744741376
2020-11-02,MWG,-0.032689027856736774
2020-11-03,MWG,-0.02558271745309837
2020-11-04,MWG,-0.028993746446845048
2020-11-05,MWG,-0.028993746446845048
2020-11-06,MWG,-0.045480386583286125
2020-11-09,MWG,-0.03922683342808431
2020-11-10,MWG,-0.036384309266628834
2020-11-11,MWG,-0.018192154633314472
2020-11-12,MWG,0.0
2020-11-13,MWG,0.0
2020-11-16,MWG,-0.01266535322262885
2020-11-17,MWG,0.0
2020-11-18,MWG,-0.01256281407035198
2020-11-19,MWG,-1.1102230246251565e-16
2020-11-20,MWG,-0.01060859854829721
2020-11-23,MWG,0.0
2020-11-24,MWG,-0.010497237569060736
2020-11-25,MWG,-0.010497237569060736
2020-11-26,MWG,-0.0033149171270717703
2020-11-27,MWG,0.0
2020-11-30,MWG,0.0
2020-12-01,MWG,0.0
2020-12-02,MWG,-0.01725067385444745
2020-12-03,MWG,-0.01132075471698124
2020-12-04,MWG,-0.018059299191374834
2020-12-07,MWG,-0.014555256064690325
2020-12-08,MWG,-0.012938005390835894
2020-12-09,MWG,-0.008625336927224003
2020-12-10,MWG,-0.018867924528302105
2020-12-11,MWG,-0.014555256064689992
2020-12-14,MWG,-0.0026954177897573484
2020-12-15,MWG,-0.005929919137466211
2020-12-16,MWG,-0.00431266846361178
2020-12-17,MWG,-0.021563342318059342
2020-12-18,MWG,-0.00862533692722367
2020-12-21,MWG,0.0
2020-12-22,MWG,0.0
2020-12-23,MWG,-0.01512385919165582
2020-12-24,MWG,-0.026857887874837005
2020-12-25,MWG,-0.011734028683181297
2020-12-28,MWG,-0.021903520208605087
2020-12-29,MWG,-0.02268578878748384
2020-12-30,MWG,-0.021903520208604976
2020-12-31,MWG,-0.008344198174706552
2021-01-04,MWG,0.0
2021-01-05,MWG,0.0
2021-01-06,MWG,-0.004874294510005095
2021-01-07,MWG,-0.008978963571062093
2021-01-08,MWG,-0.000769625448948208
2021-01-11,MWG,0.0
2021-01-12,MWG,0.0
2021-01-13,MWG,0.0
2021-01-14,MWG,0.0
2021-01-15,MWG,-0.0007334963325184019
2021-01-18,MWG,-0.01173594132029332
2021-01-19,MWG,-0.061613691931540204
2021-01-20,MWG,-0.039853300733496244
2021-01-21,MWG,-0.022493887530562473
2021-01-22,MWG,-0.005378973105134688
2021-01-25,MWG,0.0
2021-01-26,MWG,0.0
2021-01-27,MWG,0.0
2021-01-28,MWG,-0.06978922716627645
2021-01-29,MWG,-0.006088992974239038
2021-02-01,MWG,-0.073536299765808
2021-02-02,MWG,-0.041217798594847865
2021-02-03,MWG,-0.04496487119437931
2021-02-04,MWG,-0.03747072599531609
2021-02-05,MWG,-0.022482435597189654
2021-02-08,MWG,-0.0374707259953162
2021-02-09,MWG,-0.029976580796252872
2021-02-17,MWG,0.0
2021-02-18,MWG,0.0
2021-02-19,MWG,-0.01344989912575656
2021-02-22,MWG,-0.017933198834341968
2021-02-23,MWG,-0.023537323470073868
2021-02-24,MWG,-0.04079802734812832
2021-02-25,MWG,-0.02712396323694244
2021-02-26,MWG,-0.03205559291638649
2021-03-01,MWG,-0.0336247478143914
2021-03-02,MWG,-0.026451468280654478
2021-03-03,MWG,-0.023537323470073868
2021-03-04,MWG,-0.04797130688186502
2021-03-05,MWG,-0.05223044160502133
2021-03-08,MWG,-0.06231786594933875
2021-03-09,MWG,-0.08159605469625653
2021-03-10,MWG,-0.06433535081820219
2021-03-11,MWG,-0.049988791750728456
2021-03-12,MWG,-0.06007621609504599
2021-03-15,MWG,-0.04864380183815287
2021-03-16,MWG,-0.04505716207128441
2021-03-17,MWG,-0.04797130688186502
2021-03-18,MWG,-0.04214301726070391
2021-03-19,MWG,-0.04640215198386011
2021-03-22,MWG,-0.054472091459313976
2021-03-23,MWG,-0.060748711051333726
2021-03-24,MWG,-0.0688186505267876
2021-03-25,MWG,-0.07666442501681225
2021-03-26,MWG,-0.06792199058507042
2021-03-29,MWG,-0.06724949562878269
2021-03-30,MWG,-0.07240529029365605
2021-03-31,MWG,-0.07016364043936352
2021-04-01,MWG,-0.03721138758125975
2021-04-02,MWG,-0.03362474781439151
